,price,room_type,cancellation_policy,host_is_superhost,host_identity_verified,is_location_exact,has_availability,requires_license,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,latitude,longitude
1767,60,Private room,moderate,True,False,True,True,False,False,False,False,2,1.0,1.0,1.0,0.0,10.0,1,10,2,14,4,8,8,8,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.7,-37.8590898,144.98369309999998
1768,226,Entire home/apt,strict_14_with_grace_period,False,True,True,True,False,False,False,False,6,2.0,3.0,3.0,1000.0,200.0,1,0,270,1124,1,1,1,28,3,100.0,9.0,9.0,10.0,10.0,10.0,9.0,2,0.08,-37.85382075,145.0044176
1769,50,Private room,moderate,True,False,True,True,False,True,False,False,2,1.0,1.0,1.0,0.0,0.0,1,10,1,14,13,43,73,73,37,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1,2.91,-37.91389299,145.24617709999998
1770,155,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,8,1.5,2.0,5.0,300.0,95.0,4,25,1,1125,28,54,78,78,36,88.0,10.0,9.0,10.0,10.0,10.0,9.0,6,1.73,-37.80779951,144.967066
1771,300,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,6,2.0,3.0,3.0,300.0,140.0,6,40,2,59,8,22,22,22,4,95.0,10.0,10.0,9.0,10.0,10.0,10.0,47,1.01,-37.808229600000004,144.9594734
1772,199,Entire home/apt,flexible,False,True,False,True,False,True,False,False,5,1.5,2.0,4.0,0.0,50.0,1,0,2,18,11,26,26,26,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.09,-37.776145,145.0033097
1773,100,Entire home/apt,moderate,False,False,True,True,False,False,False,False,2,1.0,1.0,1.0,400.0,120.0,1,0,2,90,27,57,87,247,41,94.0,10.0,10.0,9.0,10.0,10.0,9.0,55,2.88,-37.81787664,144.9603898
1774,289,Entire home/apt,strict_14_with_grace_period,True,True,True,True,False,False,False,False,2,1.0,1.0,1.0,5550.0,89.0,2,0,4,31,18,25,55,145,14,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.62,-37.80540954,144.9811881
1775,98,Entire home/apt,strict_14_with_grace_period,False,True,True,True,False,True,False,False,4,1.0,0.0,2.0,199.0,79.0,2,10,1,1125,17,43,43,43,121,97.0,10.0,10.0,10.0,10.0,10.0,10.0,25,3.4,-37.81635921,144.9534101
1776,46,Private room,strict_14_with_grace_period,False,False,True,True,False,True,False,False,1,1.0,1.0,1.0,150.0,45.0,1,0,5,1125,2,23,53,53,28,91.0,9.0,8.0,9.0,9.0,10.0,9.0,10,1.58,-37.81490391,144.95326980000002
1777,251,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,False,False,False,5,1.0,2.0,2.0,500.0,90.0,4,25,1,1125,7,32,62,337,6,87.0,9.0,8.0,9.0,8.0,9.0,9.0,36,0.63,-37.82802455,144.9593159
1778,100,Entire home/apt,strict_14_with_grace_period,True,False,False,True,False,True,False,False,5,1.0,2.0,2.0,400.0,99.0,2,29,2,1125,21,51,71,97,99,97.0,10.0,10.0,10.0,10.0,10.0,10.0,67,3.7,-37.81425299,144.953197
